id;Country;Name;Sector;;
;France;GETINGE MEDICAL TECHNOLOGY RDI;Industry;;
;Sweden;GETINGE MEDICAL TECHNOLOGY RDI;Industry;;
;Sweden;NILAR BATTERY ENERGY STORAGE (EDP);Industry;;
;Poland;S6 EXPRESSWAY BOZEPOLE - TRICITY BYPASS;Transport;;
;Croatia;HBOR COVID-19 RESPONSE FOR SMES & MIDCAPS;Credit lines;;
;Spain;PLYSA FOREST FIRE EXTINCTION FLEET;Transport;;
;Belgium;APERAM ADVANCED STAINLESS STEEL MANUFACTURING;Industry;;
;Italy;ISP ENHANCED COVID19 SME AND MIDCAP SUPPORT;Credit lines;;
;France;APERAM ADVANCED STAINLESS STEEL MANUFACTURING;Industry;;
;;BDEAC IMPULSION ECONOMIQUE & SECTEUR SOCIAL;Credit lines;;
;Czech Republic;CENTRAL BOHEMIA REGIONAL INFRASTRUCTURE;Transport;;
;Poland;BIEDRONKA ENERGY & ENVIRONMENTAL SUSTAINABILITY;Services;;
;Czech Republic;CENTRAL BOHEMIA REGIONAL INFRASTRUCTURE;Composite infrastructure;;
;;LORAX CAPITAL PARTNERS FUND II;Services;;
;Hungary;MVM DISTRIBUTION NETWORK UPGRADE;Energy;;
;Spain;ACCIONA ENERGY WATER AND CONSTRUCTION INNOVATION;Water, sewerage;;
;Spain;ACCIONA ENERGY WATER AND CONSTRUCTION INNOVATION;Industry;;
;Poland;PCC ROKITA CHEMICAL UPGRADE PROGRAMME;Industry;;
;Spain;ACCIONA ENERGY WATER AND CONSTRUCTION INNOVATION;Energy;;
;Germany;COMMERZBANK COVID-19 ABS FOR SMES & MIDCAPS;Credit lines;;
;Italy;REGIONE LAZIO EU BLENDING PROGRAMME;Urban development;;
;Spain;SANTANDER COVID19 ABS SUPPORT TO SMES & MIDCAPS;Credit lines;;
;Slovakia;DIGITAL INNOVATION POSTAL AND LOGISTIC SERVICES;Services;;
;Spain;SANTANDER INNOVATION & DIGITALISATION OF SMES;Credit lines;;
;Italy;REGIONE LAZIO EU BLENDING PROGRAMME;Credit lines;;
